Prénom;Nom;Lien wikipédia;Nationalité;Année naissance;Année Décès;Domaine de recherche;Travaux majeurs;Prix et récompenses
María Teresa;Toral;https://fr.wikipedia.org/wiki/María_Teresa_Toral;Espagnole;1911;1995;;;
Thérèse;Tréfouël;;;;;;;
Agnès;Ullmann;;;;;;;
Arlette;Vassy;;;;;;;
Dorothy;Vaughan;https://fr.wikipedia.org/wiki/Dorothy_Vaughan;Américaine;1910;2008;;;
Suzanne;Veil;;;;;;;
Michèle;Vergne;;;;;;;
Maryna;Viazovska;;;;;;;
Jeanne;Villepreux;;;;;;;
Claire;Voisin;;;;;;;
Chien-Shiung;Wu;https://fr.wikipedia.org/wiki/Chien-Shiung_Wu;Chinoise;1912;1997;;;
Toshiko;Yuasa;;;;;;;
Hypathie;;https://fr.wikipedia.org/wiki/Hypatie;Grecque;IVème siècle;Vème siècle;Philosophie, astronomie, mathématiques;;
